,Headline,Category
0,प्रधानमन्त्रीले नै जातीय हिंसा फैलाए : एमाले नेता बस्नेत,politics
1,निजगढमा विमानस्थल बनाउन जोड,economy
2,"नेपालको दोस्रो विकेट क्षति, भीम सार्की आउट",sports
3,पर्यटन विकासमा ध्यान खै ?,economy
4,एसिया कप क्रिकेट : नेपाल र भारत दुवै दबाबमा,sports
5,एमाले महासचिव चीन भ्रमण छोट्याएर स्वदेश फिर्ता,politics
6,आइसीसी महिला टि-२० विश्वकप छनोट : कतारलाई हराउँदै नेपाल सेमिफाइनलमा,sports
7,संवैधानिक इजलासमार्फत् सदरमुकाम रुकुमकोट कायम,politics
8,सन्दीप लामिछानेको मुद्दामा अभिलेख झिकाउने आदेश,sports
9,"भित्रभित्रै बिआरआई परियोजना अघि बढाउने तयारी, तर प्रधानमन्त्रीले संसदलाई गराएनन् जानकारी",politics
10,"भारतले पायो नयाँ लक्ष्य, २३ ओभरमा १४५ रन बनाउनुपर्ने",sports
11,सितोरियो करातेमा दावा,sports
12,अमेरिका र चीनको भ्रमणमा जानुअघि राष्ट्रपतिसँग प्रधानमन्त्रीको भेट,politics
13,केही नेपाल ऐन संशोधन गर्न बनेको विधेयक समितिमा पठाइयो,politics
14,नेम्वाङको निधनमा शोक प्रस्ताव पारित गर्दै राष्ट्रियसभा बैठक स्थगित,politics
15,फाइनलमा पुग्न एसिया कपमा पाकिस्तान र श्रीलंका भीड्दै,sports
16,केन्द्र सरकारविरुद्ध बागमतीले रिट दर्ता गर्ने,politics
17,म आफूलाई अब्बल राजनीतिज्ञ ठान्दिनँ तर इमानको साथ काम गर्छु : ओली,politics
18,१ लाख १३ हजार पुग्यो सुनको मूल्य,economy
19,"नेपालको तेस्रो विकेट क्षति, कप्तान रोहित पौडेल आउट",sports
20,"मध्य भोटेकोशी जलविद्युत आयोजना अन्तिम चरणमा, प्रशारण लाइनमा जोड्न समस्या",economy
21,"नेपालको नवौं विकेट क्षति, सोमपाल र सन्दीप आउट",sports
22,नेपाल-भारतको खेल हेर्न २ बजेपश्चात जनकपुरका विद्यालयमा बिदा,sports
23,"साल्ट ट्रेडिङको ६ दशक, व्यवसायमा फड्को",economy
24,विश्वकप एसिया क्षेत्र छनोटमा नेपालको लगातार तेस्रो जित,sports
25,"सामान्य अंकले बढ्यो सेयर बजार ,कारोबार रकम १ अर्बमा झर्‍यो",economy
26,बाण्डु हाइड्रोपावरको सेयर बाँडफाँड,economy
27,विश्वकप एसिया छनोट : नेपाल र युएईबीचको खेल वर्षाको कारण रद्द,sports
28,"बालबालिका भविष्यका नेता, नीति निर्माता र आविष्कारक हुन् : पूर्वराष्ट्रपति भण्डारी",politics
29,उलटफेरबाट जोगिए जोकोभिच,sports
30,"उच्च अदालतको न्यायाधीशमा २७ जना सिफारिस, सूचीसहित",politics
